year,iso,eq_tr,bond_tr,bill_rate,cpi,xrusd,eq_tr_usd,bond_tr_usd,bill_rate_usd,xrusd_return,cpi_return
1899,DEU,0.03726273402571678,-0.01499930489808321,0.04450000077486038,1.233270856642467e-11,4.1963e-12,0.040426702997317765,-0.011994751148993621,0.047686045626257556,-0.0030410301489629866,0.02586206690849408
1900,DEU,-0.06725689768791199,0.026910047978162766,0.04410000145435333,1.2643617291677967e-11,4.2012e-12,-0.06834478714838266,0.025712328461097833,0.04288223271991409,0.0011676953506661856,0.025210092623102615
1901,DEU,0.038567397743463516,0.06220318749547005,0.03060000017285347,1.2643617291677967e-11,4.1853e-12,0.04251292652852601,0.06623850890162464,0.03451526072830924,-0.003784632962010941,0.0
1902,DEU,0.08680732548236847,0.040763821452856064,0.021900000050663948,1.2747253490839261e-11,4.1937e-12,0.0846304455114475,0.03867916682801309,0.019853129745104336,0.0020070245860511417,0.008196720667075833
1903,DEU,0.10097536444664001,0.03314999118447304,0.03009999915957451,1.2747253490839261e-11,4.196399999999999e-12,0.10026698738916084,0.032485253557889004,0.029437223924198896,0.0006438228771728008,0.0
1904,DEU,0.1247231513261795,0.027774188667535782,0.03139999881386757,1.2747253490839261e-11,4.1788e-12,0.12946018766755496,0.03210290162832541,0.03574398272769996,-0.004194071108569117,0.0
1905,DEU,0.08828467130661011,0.027354072779417038,0.02850000001490116,1.3161798305513671e-11,4.184200000000001e-12,0.0868801645370827,0.026028201168831977,0.027172649505823765,0.0012922370058391797,0.032520324081757715
1906,DEU,0.05856289342045784,0.017608584836125374,0.04039999842643738,1.3887251706925117e-11,4.2154e-12,0.05072801125631754,0.010076823236541355,0.03269954770980221,0.007456622532383561,0.055118106551408155
1907,DEU,0.025070125237107277,0.003328117774799466,0.05119999870657921,1.3783615523991073e-11,4.203299999999999e-12,0.02802098492244265,0.006216388948657059,0.054226078211813356,-0.0028704274801918503,-0.007462684850910033
1908,DEU,0.020598167553544044,0.05757177248597145,0.03519999980926514,1.3783615523991073e-11,4.197e-12,0.02213015908453908,0.059159264067258244,0.036753909744646984,-0.0014988223538646487,0.0
1909,DEU,0.14028215408325195,0.03441371023654938,0.028599999845027924,1.4198160385765414e-11,4.1879999999999995e-12,0.1427326171650929,0.036636662335911785,0.03081045829741713,-0.0021443888491780956,0.03007519043554318
1910,DEU,0.07810017466545105,0.03398488461971283,0.03539999946951866,1.4716341395648174e-11,4.2023e-12,0.07443150929227049,0.03046633909700791,0.03187663845473754,0.0034145176695322015,0.03649634852711415
