year,iso_domestic,asset_class,return
1938,DEU,Bills,0.03009999915957451
1939,DEU,Bills,0.02500000037252903
1940,DEU,Bills,0.022199999541044235
1941,DEU,Bills,0.021800000220537186
1942,DEU,Bills,0.021299999207258224
1943,DEU,Bills,0.021299999207258224
1950,DEU,Bills,0.04309999942779541
1951,DEU,Bills,0.06019999831914902
1952,DEU,Bills,0.051100000739097595
1953,DEU,Bills,0.03579999879002571
1954,DEU,Bills,0.02889999933540821
1955,DEU,Bills,0.031300000846385956
1956,DEU,Bills,0.04699999839067459
1957,DEU,Bills,0.03959999978542328
1958,DEU,Bills,0.030799999833106995
1959,DEU,Bills,0.027049999684095383
1960,DEU,Bills,0.0456399992108345
1961,DEU,Bills,0.029319999739527702
1962,DEU,Bills,0.02662000060081482
1963,DEU,Bills,0.02996000088751316
1964,DEU,Bills,0.03288000077009201
1965,DEU,Bills,0.041039999574422836
1966,DEU,Bills,0.05339000001549721
1967,DEU,Bills,0.033479999750852585
1968,DEU,Bills,0.025930000469088554
1969,DEU,Bills,0.04806999862194061
1970,DEU,Bills,0.08647000044584274
1971,DEU,Bills,0.0616299994289875
1972,DEU,Bills,0.04301999881863594
1973,DEU,Bills,0.10182999819517136
1974,DEU,Bills,0.08866000175476074
1975,DEU,Bills,0.044039998203516006
1976,DEU,Bills,0.03884999826550484
1977,DEU,Bills,0.04139000177383423
1978,DEU,Bills,0.03359999880194664
1979,DEU,Bills,0.058720000088214874
1980,DEU,Bills,0.09060999751091003
1981,DEU,Bills,0.11263000220060349
1982,DEU,Bills,0.0866599977016449
1983,DEU,Bills,0.053630001842975616
1984,DEU,Bills,0.05544999986886978
1985,DEU,Bills,0.05192999914288521
1986,DEU,Bills,0.045729998499155045
1987,DEU,Bills,0.037220001220703125
1988,DEU,Bills,0.04008999839425087
1989,DEU,Bills,0.06588999927043915
1990,DEU,Bills,0.07923000305891037
1991,DEU,Bills,0.08839999884366989
1992,DEU,Bills,0.09415999799966812
1993,DEU,Bills,0.07489000260829926
1994,DEU,Bills,0.05347000062465668
1995,DEU,Bills,0.04503000155091286
1996,DEU,Bills,0.03272999823093414
1997,DEU,Bills,0.0318400003015995
1998,DEU,Bills,0.03413999825716019
1999,DEU,Bills,0.027319999411702156
2000,DEU,Bills,0.041120000183582306
2001,DEU,Bills,0.0437299981713295
2002,DEU,Bills,0.0327799990773201
2003,DEU,Bills,0.023180000483989716
2004,DEU,Bills,0.02048330008983612
2005,DEU,Bills,0.020899999886751175
2006,DEU,Bills,0.028358299285173416
2007,DEU,Bills,0.03859170153737068
2008,DEU,Bills,0.0381833016872406
2009,DEU,Bills,0.006258329842239618
2010,DEU,Bills,0.0038333300035446882
2011,DEU,Bills,0.008091670460999012
2012,DEU,Bills,0.0025500000920146704
2013,DEU,Bills,0.0008916666847653687
2014,DEU,Bills,0.0009666666737757623
2015,DEU,Bills,-0.001075000036507845
2016,DEU,Bills,-0.002637
2017,DEU,Bills,-0.003291
2018,DEU,Bills,-0.003221
2019,DEU,Bills,-0.003563
2020,DEU,Bills,-0.004252000000000001
1875,DNK,Bills,0.05380000174045563
1876,DNK,Bills,0.0560000017285347
1877,DNK,Bills,0.05620000138878822
1878,DNK,Bills,0.05130000039935112
1879,DNK,Bills,0.03999999910593033
1880,DNK,Bills,0.03480000048875809
1881,DNK,Bills,0.0357000008225441
1882,DNK,Bills,0.04349999874830246
1883,DNK,Bills,0.04670000076293945
1884,DNK,Bills,0.04529999941587448
1885,DNK,Bills,0.04340000078082085
1886,DNK,Bills,0.04050000011920929
1887,DNK,Bills,0.03500000014901161
1888,DNK,Bills,0.033399999141693115
1889,DNK,Bills,0.0357000008225441
1890,DNK,Bills,0.041099999099969864
1891,DNK,Bills,0.04390000179409981
1892,DNK,Bills,0.04280000180006027
1893,DNK,Bills,0.040800001472234726
1894,DNK,Bills,0.03999999910593033
1895,DNK,Bills,0.03920000046491623
1896,DNK,Bills,0.038600001484155655
1897,DNK,Bills,0.04619999974966049
1898,DNK,Bills,0.04580000042915344
1899,DNK,Bills,0.056699998676776886
1900,DNK,Bills,0.062199998646974564
1901,DNK,Bills,0.057500001043081284
1902,DNK,Bills,0.044599998742341995
1903,DNK,Bills,0.04540000110864639
1904,DNK,Bills,0.0478999987244606
1905,DNK,Bills,0.045499999076128006
1906,DNK,Bills,0.054499998688697815
1907,DNK,Bills,0.06419999897480011
1908,DNK,Bills,0.06780000030994415
1909,DNK,Bills,0.05339999869465828
1910,DNK,Bills,0.05350000038743019
1911,DNK,Bills,0.04989999905228615
1912,DNK,Bills,0.05380000174045563
1913,DNK,Bills,0.05979999899864197
1914,DNK,Bills,0.059700001031160355
1916,DNK,Bills,0.052799999713897705
1917,DNK,Bills,0.04769999906420708
1918,DNK,Bills,0.05469999834895134
1919,DNK,Bills,0.06109999865293503
1920,DNK,Bills,0.0731000006198883
1921,DNK,Bills,0.06199999898672104
1922,DNK,Bills,0.05640000104904175
1923,DNK,Bills,0.06109999865293503
1924,DNK,Bills,0.06392499804496765
1925,DNK,Bills,0.06392499804496765
1926,DNK,Bills,0.053325001150369644
1927,DNK,Bills,0.049424998462200165
1928,DNK,Bills,0.04922499880194664
1929,DNK,Bills,0.05152500048279762
1930,DNK,Bills,0.047325000166893005
1931,DNK,Bills,0.046025000512599945
1932,DNK,Bills,0.05252499878406525
1933,DNK,Bills,0.04532499983906746
1934,DNK,Bills,0.038724999874830246
1935,DNK,Bills,0.03682500123977661
1936,DNK,Bills,0.04312499985098839
1937,DNK,Bills,0.04582500085234642
1938,DNK,Bills,0.045524999499320984
1939,DNK,Bills,0.046424999833106995
1940,DNK,Bills,0.048124998807907104
1941,DNK,Bills,0.03999999910593033
1942,DNK,Bills,0.03999999910593033
1943,DNK,Bills,0.03999999910593033
1944,DNK,Bills,0.03999999910593033
1945,DNK,Bills,0.03999999910593033
1946,DNK,Bills,0.035208333283662796
1947,DNK,Bills,0.03500000014901161
1948,DNK,Bills,0.03500000014901161
1949,DNK,Bills,0.03500000014901161
1950,DNK,Bills,0.040833331644535065
1951,DNK,Bills,0.05000000074505806
1952,DNK,Bills,0.05000000074505806
1953,DNK,Bills,0.04874999821186066
1954,DNK,Bills,0.05000000074505806
1955,DNK,Bills,0.05791666731238365
1956,DNK,Bills,0.05999999865889549
1957,DNK,Bills,0.05999999865889549
1958,DNK,Bills,0.056458331644535065
1959,DNK,Bills,0.05145833268761635
1960,DNK,Bills,0.059583332389593124
1961,DNK,Bills,0.06624999642372131
1962,DNK,Bills,0.07000000029802322
1963,DNK,Bills,0.06812500208616257
1964,DNK,Bills,0.06541666388511658
1965,DNK,Bills,0.07000000029802322
1966,DNK,Bills,0.07000000029802322
1967,DNK,Bills,0.07041666656732559
