year,iso,debt_share
1918,DNK,0.0025857769888198833
1918,ESP,0.03969813689157769
1918,FIN,0.0016810316448487744
1918,FRA,0.08991453081165475
1918,GBR,0.40787208018285775
1918,ITA,0.12208972397058573
1918,JPN,0.0238789054728382
1918,NLD,0.008803958101371146
1918,NOR,0.0029236992075592546
1918,PRT,0.008494115303508059
1918,SWE,0.006752162871512827
1918,USA,0.17351476219746195
1919,AUS,0.020957848512778092
1919,CHE,0.004307654841441585
1919,DNK,0.002076768458521393
1919,ESP,0.03414545505971429
1919,FRA,0.07275054310021961
1919,GBR,0.39479595908618287
1919,ITA,0.13743938132006234
1919,JPN,0.020794222101325272
1919,NLD,0.007123350670071098
1919,NOR,0.0023683270047658135
1919,PRT,0.00720887383838464
1919,SWE,0.0038406957541377625
1919,USA,0.2921909202523951
1920,AUS,0.027519774697888525
1920,CHE,0.005863763705164406
1920,DNK,0.0024356622262595795
1920,FIN,0.0010397112209007276
1920,GBR,0.5069219510397307
1920,JPN,0.03315351465474367
1920,NLD,0.010355989134938879
1920,NOR,0.002764897338354011
1920,SWE,0.004871056136784168
1920,USA,0.40507367984523523
1921,AUS,0.019570549398948117
1921,BEL,0.027589266692159213
1921,CHE,0.00392325107254401
1921,DNK,0.001910096669650389
1921,ESP,0.01975159178451055
1921,FRA,0.2491883370617953
1921,GBR,0.304645342590076
1921,ITA,0.07738680645256105
1921,JPN,0.022507753125791275
1921,NLD,0.014903861135895776
1921,NOR,0.0019018196379888383
1921,SWE,0.0038918306392987916
1921,USA,0.2528294937387807
1922,AUS,0.021197865997103847
1922,BEL,0.028839776928697224
1922,CHE,0.003851824474479282
1922,DNK,0.0021505999647674166
1922,ESP,0.022234795322224474
1922,FIN,0.0004073665511697553
1922,FRA,0.27475242238463543
1922,GBR,0.3192115172576576
1922,ITA,0.07379724206461355
1922,JPN,0.01997670223384753
1922,NLD,0.01557985057019408
1922,NOR,0.0022079113441737298
1922,PRT,0.002435869127385794
1922,SWE,0.0038066853985045273
1922,USA,0.20954957038054559
1923,AUS,0.02345511084009625
