year,iso_domestic,iso_foreign
1939,PRT,AUS
1939,SWE,AUS
1940,BEL,AUS
1940,CHE,AUS
1940,DEU,AUS
1940,DNK,AUS
1940,FIN,AUS
1940,FRA,AUS
1940,ITA,AUS
1940,JPN,AUS
1940,NLD,AUS
1940,NOR,AUS
1940,PRT,AUS
1940,SWE,AUS
1941,BEL,AUS
1941,CHE,AUS
1941,DEU,AUS
1941,DNK,AUS
1941,ESP,AUS
1941,FIN,AUS
1941,FRA,AUS
1941,ITA,AUS
1941,JPN,AUS
1941,NLD,AUS
1941,NOR,AUS
1941,PRT,AUS
1941,SWE,AUS
1942,BEL,AUS
1942,CHE,AUS
1942,DEU,AUS
1942,DNK,AUS
1942,ESP,AUS
1942,FIN,AUS
1942,FRA,AUS
1942,ITA,AUS
1942,JPN,AUS
1942,NLD,AUS
1942,NOR,AUS
1942,PRT,AUS
1942,SWE,AUS
1943,BEL,AUS
1943,CHE,AUS
1943,DEU,AUS
1943,DNK,AUS
1943,ESP,AUS
1943,FIN,AUS
1943,FRA,AUS
1943,ITA,AUS
1943,JPN,AUS
1943,NLD,AUS
1943,NOR,AUS
1943,PRT,AUS
1943,SWE,AUS
1944,BEL,AUS
1944,CHE,AUS
1944,DNK,AUS
1944,ESP,AUS
1944,FIN,AUS
1944,FRA,AUS
1944,ITA,AUS
1944,JPN,AUS
1944,NLD,AUS
1944,NOR,AUS
1944,PRT,AUS
1944,SWE,AUS
1945,BEL,AUS
1945,CHE,AUS
1945,DNK,AUS
1945,ESP,AUS
1945,FIN,AUS
1945,FRA,AUS
1945,ITA,AUS
1945,JPN,AUS
1945,NLD,AUS
1945,NOR,AUS
1945,PRT,AUS
1945,SWE,AUS
1946,BEL,AUS
1946,CHE,AUS
1946,DNK,AUS
1946,ESP,AUS
1946,FIN,AUS
1946,FRA,AUS
1946,ITA,AUS
1946,NLD,AUS
1946,NOR,AUS
1946,PRT,AUS
1946,SWE,AUS
1947,BEL,AUS
1947,CHE,AUS
1947,DNK,AUS
1947,ESP,AUS
1947,FIN,AUS
1947,FRA,AUS
1947,GBR,AUS
1947,ITA,AUS
1947,NLD,AUS
1947,NOR,AUS
1947,PRT,AUS
1947,SWE,AUS
