year,iso_domestic,weights_sum_check,foreign_tr_hedged,foreign_tr_unhedged,domestic_tr,asset_class
1988,DEU,true,0.1713559978471938,0.28202377173778437,0.2789909243583679,Equities
1992,GBR,true,0.01201405052973633,0.21350496460765286,0.19888730347156525,Equities
1992,NOR,true,0.030344847464900918,0.13930032159308636,-0.047744039446115494,Equities
2008,JPN,true,-0.39951772047301287,-0.5469672153194736,-0.27346742153167725,Equities
1931,CHE,true,-0.28591999953507014,-0.31974893508216284,-0.3009048402309418,Equities
1964,AUS,true,0.10436719651639423,0.1063606694811763,0.04399999976158142,Equities
1915,PRT,true,0.14583157925057688,0.36920472527254955,0.1238078847527504,Equities
1948,CHE,true,0.02304816766932901,0.020777048301379053,-0.052148569375276566,Equities
1914,CHE,true,-0.02817056436558447,-0.043544149204295834,0.06035903841257095,Equities
1904,ITA,true,0.15563848323694685,0.15692153709649664,0.113599993288517,Equities
1903,JPN,true,-0.0031077297725041475,0.004708025398778445,0.16901464760303497,Equities
1952,CHE,true,0.131341462656333,0.14436703053202546,0.0836869552731514,Equities
1873,BEL,true,0.01579925676618385,0.010877583598307868,0.18055005371570587,Equities
1899,PRT,true,0.06405598869675358,-0.03961606676591499,0.13143211603164673,Equities
1968,ESP,true,0.19322333249591933,0.19503655788294136,0.2247946411371231,Equities
1988,USA,true,0.16868546311231616,0.11925003835790822,0.18775933980941772,Equities
1958,DNK,true,0.32184470550430866,0.31960444208792826,0.0657549798488617,Equities
1976,DNK,true,0.14355030389258644,0.07046258434933142,0.3568114936351776,Equities
1939,NOR,true,0.022924528801567416,0.03534810708592628,0.037782493978738785,Equities
1984,ITA,true,0.10828329768441117,0.24445821266107504,0.20127017796039587,Equities
1909,GBR,true,0.14826383135433086,0.1478164465218515,0.11060185730457306,Equities
2001,BEL,true,-0.14566095202331983,-0.12294823400204014,-0.02317841351032257,Equities
1946,SWE,true,-0.005071644482278405,-0.1455695173771504,0.14259809255599976,Equities
1911,ITA,true,0.04300082280790013,0.044368902754984854,0.0005999999702908099,Equities
2009,ITA,true,0.2612320581337648,0.26567038234857754,0.2256501317024231,Equities
1965,DEU,true,0.09375169804196107,0.10174833228721088,-0.11891141533851624,Equities
1968,GBR,true,0.1708842286609603,0.18242081728156578,0.4819520115852356,Equities
2004,USA,true,0.19270892394978345,0.2745383078397273,0.12771135568618774,Equities
1951,JPN,true,0.2302627256728948,0.2544120716810194,0.42148053646087646,Equities
2000,SWE,true,-0.02017236327781869,0.048909669303934165,-0.10803400725126266,Equities
1904,FRA,true,0.16211606244827054,0.1627085356794613,0.0629340335726738,Equities
1998,NOR,true,0.20222072920976003,0.2791606410352424,-0.26890257000923157,Equities
2017,JPN,true,0.174843321890253,0.18217470278882844,0.21940000355243683,Equities
1923,BEL,true,0.05398596984838637,0.5350481435333534,0.5130442976951599,Equities
1927,FRA,true,0.23647770779343302,0.0318833311568337,0.2542186975479126,Equities
1994,JPN,true,-0.002123714267726551,-0.06500013762454603,0.0654173418879509,Equities
1969,FIN,true,-0.025941246053305292,-0.02602213825171064,0.2586260437965393,Equities
2020,JPN,true,0.10175677579532962,0.07415386118190224,0.07829999923706055,Equities
1946,USA,true,0.15022139247300628,-0.05480384023258647,-0.08597806841135025,Equities
1958,DEU,true,0.3092043988359356,0.3007511704267031,0.6110981702804565,Equities
2014,USA,true,0.057838392941151694,-0.05628445952110139,0.15816636383533475,Equities
1919,DNK,true,0.12647574493909827,0.3704320948258783,-0.0395403727889061,Equities
1950,PRT,true,0.22176515125980545,0.24734923155326322,0.00828226562589407,Equities
2014,BEL,true,0.11537628059351797,0.21560911404323213,0.17930616438388824,Equities
1990,DNK,true,-0.1072466151123401,-0.16653908436117293,0.11323237419128418,Equities
1935,JPN,true,0.2594445483484702,0.2795006216543432,0.0933295413851738,Equities
1957,AUS,true,-0.05566129768348762,-0.06585738129039642,0.16700001060962674,Equities
1905,GBR,true,0.1464513510654416,0.1527938571595484,0.10940000414848326,Equities
1889,ITA,true,0.10346851483051617,0.0996486509012202,0.014500000514090061,Equities
1927,CHE,true,0.2365825076701824,0.2599054791000428,0.26099103689193726,Equities
1897,USA,true,0.06841365009000722,0.06533902744206316,0.16824644804000852,Equities
1888,DEU,true,0.09616632391659785,0.0951746629262932,0.16583238542079926,Equities
1988,AUS,true,0.17342959042016112,-0.042962026778136785,0.21100001037120816,Equities
1920,USA,true,-0.17975293068567183,-0.31929105700239363,-0.17937219142913818,Equities
1915,GBR,true,0.20821387037952083,0.20751538890288818,0.026000000536441803,Equities
1955,PRT,true,0.2700001821223347,0.2765902671564533,-0.002660732250660658,Equities
2014,FIN,true,0.11688531258119886,0.21711814603091326,0.10742779821157455,Equities
1983,USA,true,0.35081649786689095,0.2973872213640396,0.230200856924057,Equities
1994,CHE,true,0.017581360521607355,-0.035621447150846,-0.07619982957839966,Equities
2016,FRA,true,0.0375148790374675,0.06355751644576951,0.08940000087022781,Equities
1933,CHE,true,0.3178510922917669,0.2071569011808425,0.09540724009275436,Equities
2009,SWE,true,0.2554409472189941,0.18656772823982154,0.5224274396896362,Equities
1935,ITA,true,0.25879196406692756,0.2857405407816539,0.11863307654857635,Equities
1883,BEL,true,0.01115077955631378,-0.011122089445992328,-0.03271814435720444,Equities
1980,FRA,true,0.24496634996231256,0.40846995128481123,0.08802468329668045,Equities
1883,GBR,true,0.016153873180351903,0.01930973356006329,0.003100000089034438,Equities
1961,NLD,true,0.20738727338728663,0.15546226868466007,0.05401207506656647,Equities
2017,AUS,true,0.18124564659413564,0.13889537088595477,0.12319999933242798,Equities
1967,DEU,true,0.19057433075090852,0.17443469353738655,0.3791571855545044,Equities
1977,CHE,true,-0.00385086759135371,-0.16375018332059843,0.08091741800308228,Equities
1959,CHE,true,0.24576174047905747,0.24987401372444515,0.2919606864452362,Equities
2004,BEL,true,0.15626022556210134,0.1094591992675323,0.3925911784172058,Equities
1968,SWE,true,0.18976036042707617,0.1930137511550558,0.39471855759620667,Equities
1951,ESP,true,0.23538218093817684,0.24339196092589005,0.1954616755247116,Equities
1903,GBR,true,-0.00925145031758147,-0.0069460988857457315,0.016699999570846558,Equities
1918,NLD,true,0.17856633230467325,0.04492542696018195,-0.036861818283796303,Equities
1959,NOR,true,0.24919664138719144,0.2497664403613129,0.13141898810863495,Equities
1895,DEU,true,0.09837386499714977,0.09528631039935044,0.1318591684103012,Equities
2003,CHE,true,0.2002149341127567,0.156840727714587,0.22063781321048734,Equities
1964,DEU,true,0.10340220291569428,0.10388844938608864,0.09510250389575958,Equities
1970,AUS,true,0.013430840231197113,0.01607723828935646,-0.13699999451637268,Equities
1943,FRA,true,0.16498358354862078,0.16518135457177166,-0.17693762481212616,Equities
1928,AUS,true,0.27395765961656193,0.2733763272019336,0.1770000010728836,Equities
1883,NOR,true,0.009015107969084746,0.01135729961612739,0.07385364174842834,Equities
1991,BEL,true,0.08016621951304657,0.09913795177803297,0.12569156289100647,Equities
2007,NLD,true,0.0671116719797118,-0.00018632521114923806,0.08164761960506439,Equities
1931,ESP,true,-0.28625666721628534,-0.17188002998327773,-0.2420930117368698,Equities
1901,DNK,true,0.06855188981346462,0.06334084623985499,0.050443459302186966,Equities
1905,FIN,true,0.13269479639932968,0.137724569944897,0.15066853165626526,Equities
1947,ESP,true,0.03097369129269991,0.46301078545549157,0.43663299083709717,Equities
